Name,F1,Precision,Recall,Accuracy
Keyword,0.6903213088902032,0.7129478827361564,0.6690867405426061,0.7420361247947455
Logistic Regression,0.8273809523809523,0.8605035080478746,0.7967137944210928,0.8571428571428571
Decision Tree,0.9627158555729984,0.9895118999596612,0.9373328238440963,0.9688013136288999
Random Forests,0.9630781189273222,0.9798339264531435,0.9468857470385939,0.9688013136288999
AdaBoost,0.9628470864294094,0.985983179815779,0.9407718761941154,0.9688013136288999
Gradient Boosting,0.9034343434343435,0.9584226318045435,0.8544134505158578,0.9215106732348112
Artificial Neural Network,0.9634896233666411,0.9690761499806726,0.957967137944211,0.9688013136288999
